"region","age","cohort","median","iqr","mean","sd"
"australia_new zealand",15,1950,0.0561841978557767,0.00876088941168274,0.0561841978557767,0.0123897686244526
"australia_new zealand",16,1950,0.139244201753687,0.020224041234582,0.139244201753687,0.0286011133999385
"australia_new zealand",17,1950,0.246997858240435,0.0336931890202167,0.246997858240435,0.0476493648719907
"australia_new zealand",18,1950,0.377836211202494,0.0487624395678374,0.377836211202494,0.0689605033712341
"australia_new zealand",19,1950,0.530157153559809,0.0650232878844255,0.530157153559809,0.0919568155962446
"australia_new zealand",20,1950,0.702368682748858,0.08206357050847,0.702368682748858,0.116055414389839
"australia_new zealand",21,1950,0.869269968656904,0.0959633937603737,0.869269968656904,0.13571273294727
"australia_new zealand",22,1950,1.02984326855663,0.107022940095134,1.02984326855663,0.151353293367582
"australia_new zealand",23,1950,1.1854124594092,0.115559613116019,1.1854124594092,0.163425972131263
"australia_new zealand",24,1950,1.33728963381715,0.121893386277547,1.33728963381715,0.17238328003729
"australia_new zealand",25,1950,1.48677473103716,0.126348018880808,1.48677473103716,0.17868308188021
"australia_new zealand",26,1950,1.61755435971324,0.129249852549769,1.61755435971324,0.182786894410607
"australia_new zealand",27,1950,1.73354495858592,0.130690238997367,1.73354495858592,0.184823908459857
"australia_new zealand",28,1950,1.83545044137339,0.130835571758738,1.83545044137339,0.185029440022046
"australia_new zealand",29,1950,1.92397607715598,0.129847045360869,1.92397607715598,0.183631452583416
"australia_new zealand",30,1950,1.99982815263542,0.127879923596945,1.99982815263542,0.180849522306035
"australia_new zealand",31,1950,2.0662331493874,0.125974562448846,2.0662331493874,0.178154934729174
"australia_new zealand",32,1950,2.12395049703697,0.124647459830771,2.12395049703697,0.176278128208032
"australia_new zealand",33,1950,2.17227575794621,0.123771835218433,2.17227575794621,0.175039808005715
"australia_new zealand",34,1950,2.21051282981196,0.123225681188052,2.21051282981196,0.174267429568807
"australia_new zealand",35,1950,2.23797711182258,0.122893019070454,2.23797711182258,0.173796974290411
"australia_new zealand",36,1950,2.26159734054335,0.122818223395675,2.26159734054335,0.173691197232731
"australia_new zealand",37,1950,2.28135954448139,0.122864749228957,2.28135954448139,0.17375699469716
"australia_new zealand",38,1950,2.29665545512388,0.122951286085904,2.29665545512388,0.173879376293901
"australia_new zealand",39,1950,2.30686939293781,0.122994492221984,2.30686939293781,0.173940478997522
"australia_new zealand",40,1950,2.31137478920557,0.122909891910783,2.31137478920557,0.173820836090041
"australia_new zealand",41,1950,2.31496299723394,0.122841988545291,2.31496299723394,0.17372480622963
"australia_new zealand",42,1950,2.31751932380163,0.122774417167394,2.31751932380163,0.17362924587058
"australia_new zealand",43,1950,2.31888318332997,0.12268727379533,2.31888318332997,0.173506006531938
"australia_new zealand",44,1950,2.31889812389363,0.122557791245506,2.31889812389363,0.173322890553885
"australia_new zealand",45,1950,2.31741922687996,0.122360231807496,2.31741922687996,0.173043499317276
"australia_new zealand",46,1950,2.31556245001525,0.122138284584941,2.31556245001525,0.172729618545008
"australia_new zealand",47,1950,2.3137034870283,0.1219389293958,2.3137034870283,0.172447687732795
"australia_new zealand",48,1950,2.31186558082058,0.121756108677796,2.31186558082058,0.172189140193911
