"region","age","cohort","median","iqr"
"australia_new zealand",15,1950,944.617075090593,231.014457691233
"australia_new zealand",16,1950,1251.13385599684,314.055771157473
"australia_new zealand",17,1950,1541.37883064308,394.550936275183
"australia_new zealand",18,1950,1810.35617740059,470.5212662529
"australia_new zealand",19,1950,2050.92616674099,539.157515703149
"australia_new zealand",20,1950,2020.39712673628,538.934820193536
"australia_new zealand",21,1950,1950.40332238798,524.472751715171
"australia_new zealand",22,1950,1867.65863133009,503.526552194986
"australia_new zealand",23,1950,1780.01739366587,478.91241934087
"australia_new zealand",24,1950,1695.95093879206,453.86954885491
"australia_new zealand",25,1950,1474.02793695651,389.506963245125
"australia_new zealand",26,1950,1305.40814124956,342.404813316609
"australia_new zealand",27,1950,1164.7643827834,304.831336696085
"australia_new zealand",28,1950,1049.44824238401,275.002791633786
"australia_new zealand",29,1950,956.726020667928,250.981015931483
"australia_new zealand",30,1950,899.338899064746,232.8274377407
"australia_new zealand",31,1950,861.59271602706,216.812628628432
"australia_new zealand",32,1950,834.326258808307,202.199242617006
"australia_new zealand",33,1950,814.291590433176,188.938434045806
"australia_new zealand",34,1950,796.796645345158,176.793267828893
"australia_new zealand",35,1950,820.305294895467,176.460635153794
"australia_new zealand",36,1950,835.516043374903,176.291974829939
"australia_new zealand",37,1950,837.492620629864,174.694677468456
"australia_new zealand",38,1950,829.894895459493,172.356436897769
"australia_new zealand",39,1950,818.680810114579,170.819922383517
"australia_new zealand",40,1950,835.158211016409,178.325351081879
"australia_new zealand",41,1950,862.824988410386,190.743559709539
"australia_new zealand",42,1950,899.576210813999,207.0267883307
"australia_new zealand",43,1950,939.231676102563,224.809338488461
"australia_new zealand",44,1950,974.012353440662,241.221629881709
"australia_new zealand",45,1950,999.639887134975,254.289369276301
"australia_new zealand",46,1950,1007.13249006171,260.882298796673
"australia_new zealand",47,1950,999.003676682972,261.706735175826
"australia_new zealand",48,1950,981.840222170674,258.695716326542
"australia_new zealand",49,1950,962.636608197103,253.957037837033
"australia_new zealand",50,1950,948.4586829969,249.710916649147
"australia_new zealand",51,1950,945.657989706744,248.048808108048
"australia_new zealand",52,1950,953.801652997278,249.244857189649
"australia_new zealand",53,1950,970.836325105364,253.033886924784
"australia_new zealand",54,1950,994.543822706481,259.023749191786
"australia_new zealand",55,1950,1022.95514339762,266.789581728922
"australia_new zealand",56,1950,1056.43839882904,276.387951101372
"australia_new zealand",57,1950,1095.6061721839,287.765542177358
"australia_new zealand",58,1950,1141.13572148921,300.759327654618
"australia_new zealand",59,1950,1192.96392103107,315.001378058019
"australia_new zealand",60,1950,1250.60419824256,330.070505065212
"australia_new zealand",61,1950,1314.63498085943,345.967123648493
"australia_new zealand",62,1950,1383.72211978551,362.602478208508
"australia_new zealand",63,1950,1456.88786546223,380.042831091169
"australia_new zealand",64,1950,1533.26572603167,398.351105663428
"australia_new zealand",65,1950,1612.70753839088,417.721402782479
"australia_new zealand",66,1950,1697.43670446601,438.902757211797
"australia_new zealand",67,1950,1787.36915097066,461.897895791976
"australia_new zealand",68,1950,1882.3886163217,486.650132443326
"australia_new zealand",69,1950,1981.48317709669,512.849024303245
"australia_new zealand",70,1950,2084.35912958901,540.430979742
"australia_new zealand",71,1950,2193.78471586109,570.010858759326
"australia_new zealand",72,1950,2309.04476624155,601.464553299908
"australia_new zealand",73,1950,2429.23491293988,634.589925008496
"australia_new zealand",74,1950,2551.34527332458,668.668946196547
"australia_new zealand",75,1950,2674.02656484491,703.226651951683
"australia_new zealand",76,1950,2801.19987647088,738.792491680053
"australia_new zealand",77,1950,2932.48094480338,775.217609741784
"australia_new zealand",78,1950,3067.45530830117,812.4486865031
"australia_new zealand",79,1950,3198.78611640803,848.631208292789
"australia_new zealand",80,1950,3325.21357837444,883.576034560838
"australia_new zealand",81,1950,3454.10034820943,919.130773384
"australia_new zealand",82,1950,3584.08603779393,955.127292551299
