"region","area","1950_25","1950_70","1950_99","1975_25","1975_70","1975_99","1999_25","1999_70","1999_99"
"australia_new zealand","","0 (0)","0 (0)","0.04 (0)","0 (0)","0 (0)","0.02 (0)","0 (0)","0 (0)","0.01 (0)"
"","australia","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","new zealand","<0.01","<0.01","0.04","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"central and southern asia","","0.05 (0)","0.02 (0)","0.09 (0)","0.01 (0)","0.01 (0)","0.07 (0)","0 (0)","0.01 (0)","0.04 (0)"
"","afghanistan","0.1","0.02","0.12","0.05","0.02","0.14","0.01","0.01","0.08"
"","bangladesh","0.07","0.02","0.09","0.01","0.01","0.05","<0.01","<0.01","0.03"
"","bhutan","0.09","0.02","0.08","0.01","0.01","0.05","<0.01","0.01","0.03"
"","india","0.05","0.02","0.08","0.02","0.01","0.07","<0.01","0.01","0.05"
"","iran (islamic republic of)","0.04","0.01","0.1","<0.01","<0.01","0.04","<0.01","<0.01","0.03"
"","kazakhstan","0.02","0.01","0.06","0.01","0.01","0.05","<0.01","0.01","0.04"
"","kyrgyzstan","0.03","0.02","0.1","0.01","0.01","0.07","<0.01","0.01","0.06"
"","maldives","0.07","0.01","0.09","0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","nepal","0.07","0.01","0.09","0.02","0.01","0.08","<0.01","<0.01","0.04"
"","pakistan","0.06","0.02","0.13","0.03","0.02","0.1","0.01","0.01","0.07"
"","sri lanka","0.01","0.01","0.06","<0.01","<0.01","0.03","<0.01","<0.01","0.03"
"","tajikistan","0.06","0.02","0.13","0.02","0.01","0.09","<0.01","0.01","0.07"
"","turkmenistan","0.04","0.02","0.11","0.02","0.01","0.07","0.01","0.01","0.06"
"","uzbekistan","0.03","0.02","0.11","0.01","0.01","0.08","<0.01","0.01","0.05"
"eastern and south-eastern asia","","0.02 (0)","0.01 (0)","0.07 (0)","0 (0)","0.01 (0)","0.04 (0)","0 (0)","0 (0)","0.03 (0)"
"","brunei darussalam","0.01","0.02","0.09","<0.01","0.01","0.04","<0.01","<0.01","0.02"
"","cambodia","0.17","0.02","0.08","0.02","0.01","0.07","<0.01","0.01","0.05"
"","china","0.02","0.01","0.07","<0.01","<0.01","0.03","<0.01","<0.01","0.03"
"","china, hong kong sar","<0.01","<0.01","0.03","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","china, macao sar","<0.01","<0.01","0.02","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","china, taiwan province of china","<0.01","0.01","0.05","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","dem people's republic of korea","0.01","0.01","0.06","0.01","<0.01","0.04","<0.01","<0.01","0.03"
"","indonesia","0.04","0.02","0.09","0.01","0.01","0.05","<0.01","<0.01","0.04"
"","japan","<0.01","<0.01","0.02","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","lao people's democratic republic","0.07","0.02","0.11","0.02","0.01","0.08","0.01","0.01","0.05"
"","malaysia","0.01","0.01","0.08","<0.01","0.01","0.04","<0.01","<0.01","0.02"
"","mongolia","0.06","0.03","0.09","0.01","0.01","0.05","<0.01","0.01","0.05"
"","myanmar","0.04","0.02","0.1","0.01","0.01","0.06","<0.01","0.01","0.04"
"","philippines","0.03","0.02","0.09","0.01","0.01","0.07","<0.01","0.01","0.04"
"","republic of korea","0.01","<0.01","0.04","<0.01","<0.01","0.02","<0.01","<0.01","<0.01"
"","singapore","<0.01","<0.01","0.03","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","thailand","0.02","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","timor-leste","0.11","0.01","0.08","0.03","0.01","0.11","0.01","0.01","0.06"
"","viet nam","0.02","0.01","0.07","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"europe and northern america","","0 (0)","0 (0)","0.04 (0)","0 (0)","0 (0)","0.02 (0)","0 (0)","0 (0)","0.01 (0)"
"","albania","0.01","0.01","0.07","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","austria","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","belarus","<0.01","0.01","0.04","<0.01","0.01","0.03","<0.01","<0.01","0.03"
"","belgium","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","bosnia and herzegovina","0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","bulgaria","<0.01","0.01","0.05","<0.01","0.01","0.03","<0.01","<0.01","0.03"
"","canada","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","channel islands","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","croatia","<0.01","0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.01"
"","czechia","<0.01","0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","denmark","<0.01","<0.01","0.04","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","estonia","<0.01","0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","finland","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","france","<0.01","0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","germany","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","greece","<0.01","<0.01","0.03","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","hungary","<0.01","0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","iceland","<0.01","<0.01","0.04","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","ireland","<0.01","<0.01","0.04","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","italy","<0.01","<0.01","0.03","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","latvia","<0.01","0.01","0.04","<0.01","0.01","0.03","<0.01","<0.01","0.02"
"","lithuania","<0.01","0.01","0.04","<0.01","0.01","0.03","<0.01","<0.01","0.02"
"","luxembourg","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","malta","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","montenegro","<0.01","0.01","0.05","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","netherlands","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","north macedonia","0.01","0.01","0.06","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","norway","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","poland","<0.01","0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","portugal","0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","republic of moldova","0.01","0.01","0.05","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"","romania","0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","russian federation","<0.01","0.01","0.04","<0.01","0.01","0.03","<0.01","0.01","0.03"
"","serbia","0.01","0.01","0.05","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","slovakia","<0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","slovenia","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","spain","<0.01","<0.01","0.03","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","sweden","<0.01","<0.01","0.03","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","switzerland","<0.01","<0.01","0.02","<0.01","<0.01","0.01","<0.01","<0.01","0.01"
"","ukraine","<0.01","0.01","0.04","<0.01","0.01","0.03","<0.01","<0.01","0.03"
"","united kingdom","<0.01","<0.01","0.04","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","united states of america","<0.01","0.01","0.03","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"latin america and the caribbean","","0.01 (0)","0.01 (0)","0.07 (0)","0 (0)","0.01 (0)","0.04 (0)","0 (0)","0 (0)","0.03 (0)"
"","antigua and barbuda","0.01","0.01","0.06","<0.01","<0.01","0.04","<0.01","<0.01","0.03"
"","argentina","0.01","0.01","0.06","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"","aruba","<0.01","0.01","0.06","<0.01","<0.01","0.04","<0.01","<0.01","0.03"
"","bahamas","0.01","0.01","0.06","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"","barbados","<0.01","0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","belize","0.02","0.02","0.1","0.01","0.01","0.06","<0.01","<0.01","0.03"
"","bolivia (plurinational state of)","0.07","0.02","0.07","0.02","0.01","0.05","0.01","0.01","0.04"
"","brazil","0.02","0.01","0.06","<0.01","0.01","0.04","<0.01","<0.01","0.02"
"","chile","0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","colombia","0.02","0.01","0.06","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","costa rica","0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","cuba","<0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","curaçao","<0.01","0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","dominican republic","0.03","0.02","0.08","0.01","0.01","0.05","<0.01","0.01","0.04"
"","ecuador","0.03","0.01","0.07","0.01","0.01","0.04","<0.01","<0.01","0.03"
"","el salvador","0.04","0.02","0.07","<0.01","0.01","0.05","<0.01","<0.01","0.03"
"","french guiana","0.01","0.01","0.07","<0.01","<0.01","0.06","<0.01","<0.01","0.03"
"","grenada","0.01","0.02","0.09","<0.01","0.01","0.06","<0.01","<0.01","0.04"
"","guadeloupe","0.01","0.01","0.05","<0.01","<0.01","0.02","<0.01","<0.01","0.02"
"","guatemala","0.05","0.02","0.08","0.01","0.01","0.06","<0.01","<0.01","0.03"
"","guyana","0.02","0.02","0.08","0.01","0.01","0.05","<0.01","0.01","0.04"
"","haiti","0.06","0.02","0.09","0.02","0.01","0.07","0.01","0.01","0.05"
"","honduras","0.05","0.02","0.09","0.01","0.01","0.06","<0.01","<0.01","0.03"
"","jamaica","0.01","0.02","0.09","<0.01","0.01","0.05","<0.01","<0.01","0.03"
"","martinique","0.01","<0.01","0.04","<0.01","<0.01","0.02","<0.01","<0.01","0.01"
"","mexico","0.02","0.02","0.08","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"","nicaragua","0.05","0.02","0.09","0.01","0.01","0.05","<0.01","<0.01","0.03"
"","panama","0.01","0.01","0.06","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"","paraguay","0.02","0.02","0.09","0.01","0.01","0.06","<0.01","<0.01","0.04"
"","peru","0.04","0.01","0.07","0.01","0.01","0.04","<0.01","<0.01","0.02"
"","puerto rico","<0.01","0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.01"
"","saint lucia","0.01","0.02","0.09","<0.01","0.01","0.04","<0.01","<0.01","0.02"
"","saint vincent and the grenadines","0.02","0.02","0.1","<0.01","0.01","0.05","<0.01","0.01","0.03"
"","suriname","0.02","0.02","0.09","0.01","0.01","0.06","<0.01","0.01","0.04"
"","trinidad and tobago","0.01","0.01","0.07","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"","united states virgin islands","0.01","0.01","0.08","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","uruguay","0.01","0.01","0.05","<0.01","<0.01","0.04","<0.01","<0.01","0.03"
"","venezuela (bolivarian republic of)","0.01","0.02","0.09","<0.01","0.01","0.05","<0.01","<0.01","0.04"
"northern africa and western asia","","0.03 (0)","0.01 (0)","0.1 (0.1)","0 (0)","0.01 (0)","0.05 (0)","0 (0)","0 (0)","0.03 (0)"
"","algeria","0.06","0.01","0.1","0.01","<0.01","0.04","<0.01","<0.01","0.03"
"","armenia","0.01","0.01","0.06","<0.01","0.01","0.04","<0.01","<0.01","0.03"
"","azerbaijan","0.03","0.01","0.08","0.01","0.01","0.05","<0.01","<0.01","0.04"
"","bahrain","0.01","0.01","0.11","<0.01","<0.01","0.05","<0.01","<0.01","0.03"
"","cyprus","<0.01","<0.01","0.04","<0.01","<0.01","0.03","<0.01","<0.01","0.01"
"","egypt","0.06","0.02","0.1","0.01","0.01","0.07","<0.01","0.01","0.06"
"","georgia","0.01","0.01","0.05","<0.01","0.01","0.04","<0.01","0.01","0.04"
"","iraq","0.03","0.02","0.15","0.01","0.01","0.09","<0.01","0.01","0.07"
"","israel","<0.01","<0.01","0.05","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","jordan","0.03","0.02","0.14","0.01","0.01","0.08","<0.01","<0.01","0.04"
"","kuwait","0.02","0.01","0.16","<0.01","<0.01","0.06","<0.01","<0.01","0.03"
"","lebanon","0.01","0.01","0.07","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","libya","0.04","0.02","0.15","<0.01","0.01","0.05","<0.01","<0.01","0.03"
"","morocco","0.05","0.01","0.1","0.01","<0.01","0.04","<0.01","<0.01","0.03"
"","oman","0.05","0.01","0.1","<0.01","0.01","0.06","<0.01","<0.01","0.02"
"","qatar","0.02","0.01","0.12","<0.01","<0.01","0.05","<0.01","<0.01","0.02"
"","saudi arabia","0.04","0.01","0.12","<0.01","0.01","0.07","<0.01","<0.01","0.03"
"","state of palestine","0.04","0.02","0.14","0.01","0.01","0.11","<0.01","<0.01","0.06"
"","sudan","0.06","0.03","0.13","0.03","0.02","0.1","0.01","0.01","0.08"
"","syrian arab republic","0.03","0.02","0.13","<0.01","0.01","0.07","<0.01","<0.01","0.04"
"","tunisia","0.04","0.01","0.09","<0.01","<0.01","0.03","<0.01","<0.01","0.02"
"","turkey","0.05","0.01","0.07","0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","united arab emirates","0.02","0.01","0.11","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","western sahara","0.07","0.02","0.1","0.01","0.01","0.06","<0.01","<0.01","0.04"
"","yemen","0.1","0.03","0.14","0.03","0.02","0.13","0.01","0.01","0.07"
"oceania (excluding australia and new zealand)","","0.02 (0)","0.02 (0)","0.12 (0)","0.01 (0)","0.01 (0)","0.09 (0)","0 (0)","0.01 (0)","0.06 (0)"
"","fiji","0.01","0.02","0.09","<0.01","0.02","0.08","<0.01","0.01","0.06"
"","french polynesia","0.02","0.01","0.08","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","guam","0.01","0.01","0.07","<0.01","<0.01","0.04","<0.01","<0.01","0.02"
"","kiribati","0.04","0.02","0.09","0.02","0.01","0.08","0.01","0.01","0.05"
